Headlines,Descriptions,Authors,Published_Dates,Articles,Keywords,Summaries
Teen killed by school seniors,A sixth grader was killed allegedly by some of his seniors in Palashbari area of Ashulia on the outskirts of the capital on Friday night following a feud over seniority.,,2017-09-10T00:00:00+06:00,"A sixth grader was killed allegedly by some of his seniors in Palashbari area of Ashulia on the outskirts of the capital on Friday night following a feud over seniority.

Alamin Sheikh, 14, son of Ayub Ali of Daulatpur in Manikganj, was a student at Mondal International School and College.

Ali said his son went out on Friday evening without informing them anything.

“I received a call from an anonymous caller around 10:00pm. The person informed me that Alamin was admitted to Gonoshastho Medical College Hospital's emergency department,” he said.

They shifted him to Savar Enam Medical College Hospital where doctors declared him dead around 2:00am, he added.

Abdul Awal, officer-in-charge of Ashulia police, said they had so far detained six teenagers for their suspected involvement in the murder.

Of the detainees, a class-VIII student, also Alamin's neighbour, during his primary interrogation, said he had an altercation with Alamin over seniority on Friday afternoon.

“Alamin demanded seniority although he was a student of class VI,” the OC said quoting the student, adding, Alamin slapped the detainee when they met again at 9:00pm.

In retaliation, the student hit Alamin with a sharp iron rod and stabbed him with a sharp weapon, the OC added.","['college', 'student', 'ashulia', 'school', 'son', 'medical', 'seniors', 'alamin', 'killed', 'went', 'teen', 'oc', 'seniority', 'sharp']","Alamin Sheikh, 14, son of Ayub Ali of Daulatpur in Manikganj, was a student at Mondal International School and College.
Ali said his son went out on Friday evening without informing them anything.
The person informed me that Alamin was admitted to Gonoshastho Medical College Hospital's emergency department,” he said.
They shifted him to Savar Enam Medical College Hospital where doctors declared him dead around 2:00am, he added.
In retaliation, the student hit Alamin with a sharp iron rod and stabbed him with a sharp weapon, the OC added."
Panama president seeks global efforts to handle tax haven row,"Panamanian President Juan Carlos Varela called on Tuesday for global efforts to tackle the ""Panama Papers"" scandal, insisting it is not a",,2016-04-20T00:00:00+06:00,"Panamanian President Juan Carlos Varela called on Tuesday for global efforts to tackle the ""Panama Papers"" scandal, insisting it is not a problem just for his country but the international financial system as a whole.

Panama is scrambling to avert redesignation as a tax haven that assists money laundering after the disclosure of the offshore dealings of many of the world's wealthy, famous and infamous. They came to light when millions of documents covering nearly 40 years of business were leaked from the archives of the Panamanian law firm Mossack Fonseca.

The revelations have had far-reaching political consequences, already bringing down the Icelandic prime minister and Spain's industry minister, while forcing others to explain their financial dealings.

""(The)'Panama Papers', it is not about Panama,"" Varela, who arrived in Japan on Sunday, told an investment seminar in Tokyo.

""It's about a global problem that is tax evasion and also the use of the financial systems and legal system,"" he added.

Varela said his country is willing to cooperate with an Organisation for Economic Cooperation and Development initiative to share tax information, saying: ""We have the door open to do it in a multilateral way.""

He also reiterated his demand that France drop Panama from a blacklist of tax havens.

Following the recent disclosures Paris has put Panama back on its national list of Uncooperative States and Territories. It had removed it in 2012.

Such an international designation would deal a heavy blow to Panama's vital financial services sector. The Panamanian government recently imposed reforms to move it towards global transparency standards.

Varela said he plans to announce a bilateral taxation scheme with Japan under OECD standards on Wednesday following his meeting with Prime Minister Shinzo Abe.

The world's leading economies took a step last week toward denying tax evaders and money launderers the ability to hide behind anonymous shell companies.

Acting in the wake of the scandal, finance chiefs of the Group of 20 meeting in Washington on Friday supported proposals requiring authorities to share the identities of shell companies' real owners.

They also backed creating a blacklist of international tax havens that do not cooperate with information-sharing programmes.

On Monday Varela said in an interview with Kyodo News agency that Panama has ""decided to join the common reporting standards"", referring to the measures on exchanging financial account information with tax authorities set by the OECD.

OECD head Angel Gurria said last week that Isabel De Saint Malo, vice president of the Central American country, had called him to express willingness to cooperate with his organisation.","['panama', 'financial', 'haven', 'varela', 'international', 'seeks', 'cooperate', 'global', 'tax', 'panamanian', 'row', 'country', 'handle', 'efforts', 'minister', 'president']","Panamanian President Juan Carlos Varela called on Tuesday for global efforts to tackle the ""Panama Papers"" scandal, insisting it is not a problem just for his country but the international financial system as a whole.
Panama is scrambling to avert redesignation as a tax haven that assists money laundering after the disclosure of the offshore dealings of many of the world's wealthy, famous and infamous.
""(The)'Panama Papers', it is not about Panama,"" Varela, who arrived in Japan on Sunday, told an investment seminar in Tokyo.
""It's about a global problem that is tax evasion and also the use of the financial systems and legal system,"" he added.
They also backed creating a blacklist of international tax havens that do not cooperate with information-sharing programmes."
"Soon after governor signs gun bill, NRA sues to block it","Weeks after their children were gunned down in the worst high school shooting since Columbine, parents of the victims stood in the Florida Capitol and watched Gov Rick Scott sign a far-reaching bill that places new restrictions on guns.",,2018-03-10T10:42:38+06:00,"Weeks after their children were gunned down in the worst high school shooting since Columbine, parents of the victims stood in the Florida Capitol and watched Gov. Rick Scott sign a far-reaching bill that places new restrictions on guns.

Hours later, the National Rifle Association filed a federal lawsuit to block it.





The new law capped an extraordinary three weeks of lobbying after the shooting at Marjory Stoneman Douglas High School, with student survivors and grieving families working to persuade a Republican-run state government that had shunned gun control measures.

Surrounded by family members of the 17 people killed in the Valentine’s Day shooting, the GOP governor said the bill balances “our individual rights with need for public safety.”

“It’s an example to the entire country that government can and has moved fast,” said Scott, whose state has been ruled for 20 years by gun-friendly Republican lawmakers.

Tony Montalto, whose daughter Gina was killed in the shooting, read a statement from victims’ families: “When it comes to preventing future acts of horrific school violence, this is the beginning of the journey. We have paid a terrible price for this progress.”

The bill fell short of achieving the ban on assault-style weapons sought by survivors. The gunman who opened fire at the school used such a weapon, an AR-15 rifle.

Nevertheless, the bill raises the minimum age to buy rifles from 18 to 21, extends a three-day waiting period for handgun purchases to include long guns and bans bump stocks, which allow guns to mimic fully automatic fire. It also creates a so-called guardian program enabling some teachers and other school employees to carry guns.

The NRA insisted that the measure “punishes law-abiding gun owners for the criminal acts of a deranged individual.”

The Parkland gunman “gave repeated warning signs that were ignored by federal and state officials. If we want to prevent future atrocities, we must look for solutions that keep guns out of the hands of those who are a danger to themselves or others, while protecting the rights of law-abiding Americans,” Chris W. Cox, executive director of the NRA’s Institute for Legislative Action, said in a statement.

The signing marked a major victory for the teens who lived through the attack and swiftly became the public faces of a renewed gun-control movement. Just days after the shooting, they began holding rallies, lobbying lawmakers and harnessing the power of social media in support of reform.

The governor told the students: “You helped change our state. You made a difference. You should be proud.”

Scott, who said he’s an NRA member and will continue to be one, said he is still “not persuaded” about the guardian program that will let districts authorize staff members to carry handguns if they complete law enforcement training. It’s not mandatory.

“If counties don’t want to do this, they can simply say no,” he said.

The governor singled out two fathers whose children were killed, saying that they walked the halls of the Legislature since the shooting seeking change.

“I know the debate on all these issues will continue. And that’s healthy in our democracy,” he said. “This is a time for all of us to come together, roll up our sleeves and get it done.”

Student activists from the school called it “a baby step.”

“Obviously, this is what we’ve been fighting for. It’s nowhere near the long-term solution,” said Chris Grady, a senior at Stoneman Douglas High. “It’s a baby step but a huge step at the same time. Florida hasn’t passed any legislation like this in God knows how long.”

In schools, the measure creates new mental health programs and establishes an anonymous tip line for reporting threats. It also seeks to improve communication between schools, law enforcement and state agencies.

Broward County teachers union President Anna Fusco said teachers supported the bill but not the provision allowing them to carry guns.

She said she wants Scott to veto the money for the guardian program when he receives the budget. The governor cannot veto individual items in the bill itself, but he does have line-item veto power with the budget.

The Broward County school superintendent has already said he doesn’t want to participate in the program.

Meanwhile, the 19-year-old former student accused of assaulting the school went before a judge. Nikolas Cruz faces 17 counts of murder and attempted murder. In a brief hearing Friday, he stood with his head bowed as he appeared via video conference.

Cruz’s public defender has said he will plead guilty if prosecutors take the death penalty off the table and sentence him to life in prison instead. Prosecutors have not announced a decision.","['signs', 'soon', 'block', 'shooting', 'state', 'sues', 'school', 'program', 'bill', 'public', 'gun', 'teachers', 'nra', 'veto', 'scott', 'governor']","Weeks after their children were gunned down in the worst high school shooting since Columbine, parents of the victims stood in the Florida Capitol and watched Gov.
We have paid a terrible price for this progress.”The bill fell short of achieving the ban on assault-style weapons sought by survivors.
It also creates a so-called guardian program enabling some teachers and other school employees to carry guns.
Broward County teachers union President Anna Fusco said teachers supported the bill but not the provision allowing them to carry guns.
The governor cannot veto individual items in the bill itself, but he does have line-item veto power with the budget."
Bangladeshi citizen found in Pakistan jail dies 4 years later,"A man who returned to Bangladesh four years ago from a Pakistani prison, where he spent 15 years on suspicion of being an Indian spy, died Thursday, his family says.",,2016-04-08T19:04:15+06:00,"A man who returned to Bangladesh four years ago from a Pakistani prison, where he spent 15 years on suspicion of being an Indian spy, died Thursday, his family said. He was 56.

Moslemuddin Sarkar had been suffering from diabetes and kidney failure, and in recent days had trouble breathing. His brother, Julhas Uddin, said Sarkar's imprisonment and torture in Pakistan had left him ""physically very weak.""

""We are preparing for his burial,"" Uddin said, sobbing. ""Please pray for my brother.""

Sarkar vanished in 1989 from his village of Bishnurampur, about 110 kilometers (70 miles) north of Dhaka, and traveled for several years in India before being picked up in 1997 by Pakistani authorities near the border.

He spent 15 years in prison cells in Karachi and other locations in Pakistan. His family thought he was dead. But an anonymous caller from Pakistan told them he was in Pakistan, and the International Committee of the Red Cross helped secure his return in August 2012.

He arrived at the international airport in Dhaka that year — bearded, thin and ravaged by fatigue. Family members greeted and embraced him for the first time in 23 years. Sarkar said little while wiping away tears rolling down his cheeks.

His elder brother, Sekandar Ali, gripped him tightly and said ""I can't believe you are alive! You are back!"" before more gently suggesting, ""Brother, let's go home. Mother is waiting for you.""

When Sarkar first disappeared, Ali searched the shipyard where he had once worked, but found no evidence of his brother. He and the family waited for years to hear news from Sarkar, but eventually came to believe he had died.

Upon his return to Bangladesh, Sarkar told The Associated Press that he had first crossed into India in 1989, visiting New Delhi for a few months as well as the northeastern states of Assam and Meghalaya. He then returned to New Delhi, got married and moved into a slum. But when his Indian wife left him, he decided to travel to Pakistan to find work.

""Some people told me I will get a better work if I go to Pakistan. They told me you are a Muslim, go there, you will get better chance,"" he said in 2012. ""But I got caught along the India-Pakistan border when I tried to enter Pakistan in 1997. I had no travel documents.""

Sarkar said he was interrogated and tortured by Pakistani authorities who believed he was an Indian spy.

Pakistan and India have a history of bitter relations and often imprison each other's citizens for lengthy periods for entering their territories. Both sides have freed scores of such prisoners, but hundreds are still believed held in jails.

Sarkar was to be buried Thursday night near his home, his family said. He is survived by his two brothers.","['pakistan', 'uddin', 'told', 'family', 'indian', 'dies', 'jail', 'travel', 'citizen', 'bangladeshi', 'sarkar', 'india', 'later', 'pakistani', 'brother']","His brother, Julhas Uddin, said Sarkar's imprisonment and torture in Pakistan had left him ""physically very weak.""
But an anonymous caller from Pakistan told them he was in Pakistan, and the International Committee of the Red Cross helped secure his return in August 2012.
But when his Indian wife left him, he decided to travel to Pakistan to find work.
""Some people told me I will get a better work if I go to Pakistan.
Pakistan and India have a history of bitter relations and often imprison each other's citizens for lengthy periods for entering their territories."
"Rampage on Hindus: ‘Attackers identified’, 2 cases filed",Two cases are filed over the rampage on Hindus in Brahmanbaria as police claim to have identified several attackers who vandalised temples and houses of the minority community.,,2016-10-31T11:44:18+06:00,"Two cases were filed today over the rampage on Hindus in Brahmanbaria as police claimed to have identified several attackers who vandalised temples and houses of the minority community.



About 500 anonymous people were sued in two cases, Abdul Karim, assistant superintendent of Brahmanbaria police (sadar circle), told The Daily Star this morning.



Fifteen people were detained so far in connection to the incident and several identified so far, the ASP said. Six of the detainees were held from the spot yesterday during the attack.



Around 150-200 people attacked at least five temples in Nasirnagar upazila and ransacked about a hundred houses yesterday – a hate attack believed to have started from a Facebook post that allegedly hurt religious sentiment of the Muslims.

The attackers ran amok through eight Hindu localities, including Kashipara, Daspara, Ghoshpara, Duttapara and Nomoshudropara, said Abdul Quader, officer-in-charge of Nasirnagar Police Station.Meanwhile, people from all quarters will rally under the banner of ‘Sompriti Somabesh’ today in protest against the attack on Hindu community, locals said.

Meanwhile, a delegation led by Awami League Organising Secretary Enamul Haque Shamim will visit the victims of temple attacks, said a press release.

Other members of the delegation are Relief and Social Welfare Secretary Sujit Roy Nandi and central working committee members Golam Rabbani Chinu and Marufa Akther Popy.","['hindus', 'today', 'filed', 'far', 'cases', 'attackers', 'members', 'houses', 'yesterday', 'hindu', 'secretary', 'rampage', 'identified', 'temples', 'nasirnagar']","Two cases were filed today over the rampage on Hindus in Brahmanbaria as police claimed to have identified several attackers who vandalised temples and houses of the minority community.
About 500 anonymous people were sued in two cases, Abdul Karim, assistant superintendent of Brahmanbaria police (sadar circle), told The Daily Star this morning.
Fifteen people were detained so far in connection to the incident and several identified so far, the ASP said.
Meanwhile, a delegation led by Awami League Organising Secretary Enamul Haque Shamim will visit the victims of temple attacks, said a press release.
Other members of the delegation are Relief and Social Welfare Secretary Sujit Roy Nandi and central working committee members Golam Rabbani Chinu and Marufa Akther Popy."
Complaint claims murder attempt on Ivy,A murder complaint has been lodged in Narayanganj claiming an attempt to kill its city corporation Mayor Selina Hayat Ivy during the recent clash there on January 16.,,2018-01-23T14:14:20+06:00,"A murder complaint has been lodged in Narayanganj claiming an attempt to kill its city corporation Mayor Selina Hayat Ivy during the recent clash there on January 16.

About eight to 10 ruling Awami League men have been accused in the complaint, including one Niajul Islam, an alleged loyal to lawmaker Shamim Osman who was seen brandishing a firearm.

GM A Sattar, the law affairs officer of Narayanganj City Corporation, lodged the complaint also accusing 1,000 more anonymous people, our local correspondent reports.

Abdur Razzak, officer-in-charge of Narayanganj Sadar Police Station, said: “The complaint was not recorded as a case yet. The high officials will take decision regarding this after an investigation”.

At least 50 people including Ivy were injured during the clash took place over evicting hawkers in the city’s Chashara area.","['murder', 'claims', 'corporation', 'complaint', 'ivy', 'narayanganj', 'including', 'took', 'station', 'clash', 'lodged', 'attempt', 'city']","A murder complaint has been lodged in Narayanganj claiming an attempt to kill its city corporation Mayor Selina Hayat Ivy during the recent clash there on January 16.
About eight to 10 ruling Awami League men have been accused in the complaint, including one Niajul Islam, an alleged loyal to lawmaker Shamim Osman who was seen brandishing a firearm.
GM A Sattar, the law affairs officer of Narayanganj City Corporation, lodged the complaint also accusing 1,000 more anonymous people, our local correspondent reports.
Abdur Razzak, officer-in-charge of Narayanganj Sadar Police Station, said: “The complaint was not recorded as a case yet.
At least 50 people including Ivy were injured during the clash took place over evicting hawkers in the city’s Chashara area."
Further delay to make Padma bridge costlier,,,2012-07-07T00:00:00+06:00,"Delay, even by six months, in constructing the $2.9 billion Padma bridge might escalate the project's cost by 4 to 5 percent, said Prof Jamilur Reza Choudhury, chief of the technical evaluation committee for the project.

“The longer the delay is, the costlier the construction will be. The bridge was scheduled to be finished between 2012 and 2016. If it now finishes between 2013 and 2017 the cost will obviously escalate,” he told The Daily Star on Wednesday.

However, he said, the cost rise would be subjected to global development. “If there are huge construction works across the globe the prices of construction materials, especially of steel, would go up.

The leading engineer of the country said some local agents of foreign bidders in the Padma bridge project had triggered the corruption issue by sending dubious letters and documents to the World Bank. “There was an unholy competition among the local agents,” he added.

“I also got some anonymous emails, which I have submitted to the Anti-Corruption Commission. The companies who had failed to qualify sent numerous complains to many,” he said.

Prof Jamilur is doubtful of the bridge's construction in the near future. He, however, sees China as the silver lining. “If the government can make a successful negotiation with China there could be a chance,” he opined.

Asked how much the local agents were responsible for the WB's loan cancellation for Padma bridge, he mentioned Ventura International, local agent of disqualified China Railway Construction Corporation (CRCC).

“The documents and photos submitted in the official pad of CRCC were proven false. I later came to know that the owner of CRCC's local agent company had threatened the Bridges Division officials of jeopardising the project,” said Prof Jamilur.

He said the agent had set up an office in China and used the official pad of CRCC, but the Chinese firm later disowned the agent when the forgery was exposed.

Prof Jamilur said he had heard that the local agents tried to influence members of various committees of the bridge project, but failed.

The members of the committees and the design consultant of the project AECOM-Maunsell had followed the WB guidelines and done everything accurately but the bank at some points directed and compelled them to change their decision which delayed the project, he added.

He said five firms had qualified in the pre-qualification of the main bridge construction through bidding, which had both concrete bore piling and steel recking piling options. Later on WB's suggestion, the design was changed and only the steel piling option was kept leaving the option open for the qualified firms to hire a company with steel piling experience.

“But the WB did not agree to that and pressed to float a fresh pre-qualification tender although for two months we had tried to make them understand that a fresh effort would not yield any positive result,” said Prof Jamilur, adding that the same five firms also qualified in the second pre-qualification tender.

The qualified companies are: Samsung C&T Corporation of Korea, China Major Bridge Engineering Co Ltd, Daelim-Bam-VCI (a joint venture entity of Korea), Vinci-HCC (a joint venture of France and India) and China Communication Construction Company Ltd.

At one stage, the WB started pressing for CRCC, which had been disqualified earlier.

“Although we told the bank that the firm had failed to meet the criteria of steel piling, the WB repeatedly told us to collect more information from the Chinese firm,” he said, adding that the CRCC had sent some photos of steel piling of a bridge in China which, in fact, were of Auckland Bay Bridge in California.

“As the fraudulence was exposed, the CRCC claimed that it had not submitted the photos although its local agent used the CRCC's official pads. Ventura International then wrote a letter to the Bridges Division withdrawing itself from the Padma bridge race,” said Prof Jamilur.

About the construction supervision consultancy, he said five firms -- SNC-Lavalin, Oriental, AECOM-Mounsell, Helcrow and High Point Randal -- had been selected in two-envelop-system and following the quality and cost-based process prescribed by the WB. Marking of the technical quality was 90 percent while of cost 10 percent.

At this the government formed a committee headed by the then Bridges Division secretary. When the task of the committee was almost done and it was about to submit its report, the committee was mysteriously dissolved. There were allegations that the local agents of the pre-qualified firms were making desperate efforts to influence the committee members, he said.

“A new committee headed by me was then formed and we started evaluating the tender documents of the firms. SNC-Lavalin became the number one qualified firm in our extensive technical and financial evaluation,” said Prof Jamilur.

He said the evaluation report was sent to the WB but the Canadian police raided the office of SNC-Lavalin just before the approval of the report. It eventually stalled everything.

The WB, however, had no objection about the evaluation report, he added.

On the alleged corruption in appointing the construction consultant, he said, “We know about a diary recovered by the Canadian police in which reportedly is a list of some people, including a [Bangladeshi] minister and other government officials, to whom SNC-Lavalin had pledged a certain percentage. But I think it's not the diary only as the WB would not do that [cancel the loan] based on a diary. There must be something else.”

Asked whether the WB made a harsh decision, he said Bangladesh's economic strength is very poor and hence it cannot fight with a strong institution like the WB. “But China can. WB's policy for China is more flexible than that for Bangladesh.”

Robert Zoellick, the immediate past WB president, had changed the bank's policy against corruption following China's warning that it would not borrow money from the bank, if there is any excess in the name of checking corruption, he pointed out.

He referred to a provision of the WB policy where it is said, “Our policy will not be applied uniformly to all borrowers…it depends on the country condition.”

Prof Jamilur, who is also the chairman of a 10-member international panel of experts to oversee the bridge design and that the environmental impacts were considered properly, said tender procedures of four other packages of the project were nearly completed. Of them, he said, the selection of a firm for the $160-million approach road at the Jinjira end of the Padma bridge was at the final stage.

“Unfortunately, the Islamic Development Bank, which was supposed to lend $140-million for the project, refused to approve a firm that is recommended in our evaluation report due to the loan cancellation by the WB,” concluded Prof Jamilur.","['wb', 'steel', 'prof', 'local', 'costlier', 'piling', 'china', 'project', 'delay', 'bridge', 'jamilur', 'padma', 'construction']","Delay, even by six months, in constructing the $2.9 billion Padma bridge might escalate the project's cost by 4 to 5 percent, said Prof Jamilur Reza Choudhury, chief of the technical evaluation committee for the project.
The leading engineer of the country said some local agents of foreign bidders in the Padma bridge project had triggered the corruption issue by sending dubious letters and documents to the World Bank.
Prof Jamilur said he had heard that the local agents tried to influence members of various committees of the bridge project, but failed.
Later on WB's suggestion, the design was changed and only the steel piling option was kept leaving the option open for the qualified firms to hire a company with steel piling experience.
Ventura International then wrote a letter to the Bridges Division withdrawing itself from the Padma bridge race,” said Prof Jamilur."
Rab firing: Case filed against Khilgaon dead biker,Rapid Action Battalion files a case under the Anti-Terrorism Act over yesterday’s incident where the elite force gunned down a “bike-riding youth as he defied a signal to stop” at a checkpoint in Dhaka’s Khilgaon area.,,2017-03-19T10:53:05+06:00,"Rapid Action Battalion filed a case under the Anti-Terrorism Act over yesterday’s incident where the elite force gunned down a “bike-riding youth as he defied a signal to stop” at a checkpoint in Dhaka’s Khilgaon area.

Deputy Assistant Director of Rab-3 Kazi Hasanuzzaman filed the case with Khilgaon Police Station at 11:00pm last night, accusing two anonymous persons including the biker who was shot dead yesterday, Shahadat Hossain, a sub-inspector of the police station, told The Daily Star.

Read More: Biker killed at city checkpoint

Rab claimed to have recovered several bombs attached to a vest the biker was wearing and a homemade improvised explosive device from the backpack he was carrying.

The identity of the youth, aged around 25, could not be known.","['wearing', 'filed', 'vest', 'dead', 'biker', 'station', 'yesterday', 'firing', 'yesterdays', 'case', 'khilgaon', 'rab', 'youth']","Rapid Action Battalion filed a case under the Anti-Terrorism Act over yesterday’s incident where the elite force gunned down a “bike-riding youth as he defied a signal to stop” at a checkpoint in Dhaka’s Khilgaon area.
Deputy Assistant Director of Rab-3 Kazi Hasanuzzaman filed the case with Khilgaon Police Station at 11:00pm last night, accusing two anonymous persons including the biker who was shot dead yesterday, Shahadat Hossain, a sub-inspector of the police station, told The Daily Star.
Read More: Biker killed at city checkpointRab claimed to have recovered several bombs attached to a vest the biker was wearing and a homemade improvised explosive device from the backpack he was carrying.
The identity of the youth, aged around 25, could not be known."
Maj Arif makes confession,"Former Rab official Major Arif Hossain yesterday admitted to his involvement in the sensational seven-murder incident in Narayanganj. In a confessional statement before a court yesterday, Arif, who was dismissed from the Bangladesh Army following the incident, also named a top Rab official, saying it was under that person's directives that the murders had been committed.",,2014-06-05T00:03:04+06:00,"Former Rab official Major Arif Hossain yesterday admitted to his involvement in the sensational seven-murder incident in Narayanganj.

In a confessional statement before a court yesterday, Arif, who was dismissed from the Bangladesh Army following the incident, also named a top Rab official, saying it was under that person's directives that the murders had been committed.

“According to Major Arif's confessional statement under Section 164, we got to know that he owned up to his role in the murder. He also admitted to the involvement of two other former Rab officials, Lt Col Tareque Sayeed and Lt Commander Masud Rana. He gave hair-raising descriptions before the court of Senior Judicial Magistrate KM Mahiuddin of how and where the seven were killed,” Fazlur Rahman, additional public prosecutor, said before a Narayanganj court during a remand prayer for Lt Col Tareque.

Following the hearing, Senior Judicial Magistrate Ishtiaq Mohammad Siddiqui granted the police a further 5-day remand to interrogate the dismissed army official.

Various sources closely linked with extracting the confessional statement from Arif told our Narayanganj correspondent that Arif admitted the entire operation was carried out on the orders of a top Rab official. The sources wished to remain anonymous on grounds of professional and personal safety.

The Rab official's name is being withheld because The Daily Star could not obtain the copy of the confessional statement to cross-check it.

Arif also gave the names of eight other Rab men, ranging from officers to constables, who were linked with the gruesome murder.

However, he said the entire plan was masterminded by Nur Hossain, according to the sources.

Narayanganj city panel mayor Nazrul Islam and his four associates and senior lawyer Chandan Sarker and his driver were abducted allegedly by some members of the Rapid Action Battalion on April 27. Their bodies were found floating in the Shitalakkhya river a couple of days later.

In his statement, Arif said Chandan had videotaped the abduction of Nazrul and his men in front of Khan Saheb Osman Ali Stadium at Fatullah on Dhaka-Narayanganj Link Road. So, they picked up Chandan and his driver as well and killed them along with the other five.

The sacked Rab officials are shown arrested in two murder cases filed by Nazrul's wife and the family of Chandan Sarker.

When The Daily Star asked the superintendent of Narayanganj police about Arif's confession, Khandaker Mahid Uddin avoided a direct reply and said, “Since Arif is confessing, the investigators have the responsibility to ensure that the evidence is credible”.

During Tareque's remand hearing, advocate Shakhawat Hossain, president of Narayanganj Lawyers' Association and counsel for the investigators, stated, “All the allegations we have made so far have been proved true through Arif's confession”.

These Rab officials were acting as hired assassins, he argued.

Despite Arif's confession, none of the progress reports submitted to the High Court by four agencies probing the incident case mentions the former Rab officials' involvement in the abductions and murders.

“I have read out the important portions of four progress reports on the investigations into the incidents before the High Court, but I have not found any mention that any Rab official is involved in the incidents,” Attorney General (AG) Mahbubey Alam said this at a press briefing at his office yesterday.

Earlier, he submitted before the HC the reports prepared by the inspector general of police (IGP), the director general (DG) of the Rab, the Criminal Investigation Department of police and the seven-member committee headed by an additional secretary of the public administration ministry.

After accepting the reports, the HC bench of Justice Md Rezaul Haque and Justice Gobinda Chandra Tagore directed the probe committees to submit reports on further progress before it on July 9.

Citing from the CID report, the AG told the HC that the CID officials have recorded statements from two witnesses in connection with the alleged involvement of the Rab officials in the incidents, and they are now scrutinizing their statements.

The CID also said in its report that 13 persons, including three former Rab officials, have been detained and are being interrogated in connection with the incident.

The Rab DG said 56 Rab and police personnel have been interrogated to find out whether they had any negligence in discharging their duties or any link with the incident.

The report of the IGP said the members of the victims' families are being given full-time police protection, and the investigation officer of the case is continuing investigation into the incident.

The seven-member committee said in its report that the committee members are recording statements from the witnesses of the incidents.

Meanwhile, State Minister for Home Asaduzzaman Khan Kamal yesterday said, “There has been progress in the investigation of the Narayanganj seven-murder incident. You will soon get to know who did it. The culprits will not be able to get away.”

He was speaking at a programme at Narsingdi police lines.","['maj', 'makes', 'arif', 'court', 'confession', 'officials', 'narayanganj', 'progress', 'reports', 'statement', 'report', 'rab', 'official']","Former Rab official Major Arif Hossain yesterday admitted to his involvement in the sensational seven-murder incident in Narayanganj.
He also admitted to the involvement of two other former Rab officials, Lt Col Tareque Sayeed and Lt Commander Masud Rana.
Various sources closely linked with extracting the confessional statement from Arif told our Narayanganj correspondent that Arif admitted the entire operation was carried out on the orders of a top Rab official.
In his statement, Arif said Chandan had videotaped the abduction of Nazrul and his men in front of Khan Saheb Osman Ali Stadium at Fatullah on Dhaka-Narayanganj Link Road.
The sacked Rab officials are shown arrested in two murder cases filed by Nazrul's wife and the family of Chandan Sarker."
Baby from ovary frozen in childhood,"A woman in Belgium is the first in the world to give birth to a baby using transplanted ovarian tissue frozen when she was still a child, doctors say.",,2015-06-10T12:05:00+06:00,"A woman in Belgium is the first in the world to give birth to a baby using transplanted ovarian tissue frozen when she was still a child, doctors say.

The 27-year-old had an ovary removed at age 13, just before she began invasive treatment for sickle cell anaemia.

Her remaining ovary failed following the treatment, meaning she would have been unlikely to conceive without the transplant.

Experts hope that this procedure could eventually help other young patients.

The woman gave birth to a healthy boy in November 2014, and details of the case were published on Wednesday in the journal Human Reproduction.

Bone marrow transplant

The woman, who has asked to remain anonymous, was diagnosed with sickle cell anaemia at the age of five.

She emigrated from the Republic of Congo to Belgium where doctors decided her disease was so severe that she needed a bone marrow transplant using her brother's matching tissue.

But before they could begin the bone marrow transplant, they needed to give her chemotherapy to disable her immune system and stop it from rejecting the foreign tissue.

Chemotherapy can destroy the ovarian function, so they removed her right ovary and froze tissue fragments. At that time, she was showing signs of puberty, but had not yet started her periods. Her remaining ovary failed at 15.

Ten years later, she decided she wanted to have a baby, so doctors grafted four of her thawed ovarian fragments onto her remaining ovary and 11 fragments onto other sites in her body.

Baby boy

The patient started menstruating spontaneously five months later, and became pregnant naturally at the age of 27.

The gynaecologist who led the treatment to restore the patient's fertility, Dr Isabelle Demeestere, said it was now hoped the procedure could help other young people at risk of ovarian failure, especially given there is an increasing number of long-term survivors of haematological diseases diagnosed in childhood.

""However, the success of this procedure requires further investigation in very young pre-pubertal girls, as our patient had already started puberty even though she had not started menstruating,"" she explained.

She also warned that it would only be suitable for patients at high risk of ovarian failure, due to risks such as damaging the removed healthy ovary or reintroducing malignant cells at the time of transplant.

Professor Adam Balen, chairman of the British Fertility Society, welcomed the news.

""One would anticipate that young ovaries should have lots of eggs in them, the concern was whether those eggs might develop to maturity, if the ovarian tissue was taken at such a young age and frozen and then re-implanted,"" he told the BBC.

""So, this is proof of that concept... it's very important information.""

About 40 babies have already been born across the world using frozen ovarian tissue taken from older women.","['age', 'baby', 'young', 'using', 'removed', 'ovarian', 'tissue', 'woman', 'started', 'treatment', 'childhood', 'frozen', 'ovary']","A woman in Belgium is the first in the world to give birth to a baby using transplanted ovarian tissue frozen when she was still a child, doctors say.
The 27-year-old had an ovary removed at age 13, just before she began invasive treatment for sickle cell anaemia.
Her remaining ovary failed following the treatment, meaning she would have been unlikely to conceive without the transplant.
Chemotherapy can destroy the ovarian function, so they removed her right ovary and froze tissue fragments.
About 40 babies have already been born across the world using frozen ovarian tissue taken from older women."
